"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","DEU.TBG_USD.CAN.A","OBS_VALUE","Germany","Trade balance goods, US dollar","Canada","Annual","Millions","6756.363613","7151.797976","7485.387701","6762.009773","5499.337013","6620.144934","7062.178536","8588.616162","8406.072566"
"IMF.STA:IMTS(1.0.0)","DEU.TBG_USD.ITA.A","OBS_VALUE","Germany","Trade balance goods, US dollar","Italy","Annual","Millions","10205.476014","11042.412351","11148.923507","10893.812786","6275.607356","10324.491711","14537.402092","13542.323726","12926.802909"
"IMF.STA:IMTS(1.0.0)","DEU.TBG_USD.GBR.A","OBS_VALUE","Germany","Trade balance goods, US dollar","United Kingdom","Annual","Millions","51733.531778","49439.465749","48962.766803","43234.778099","33168.871596","44788.161876","41438.758018","51729.458116","54915.326503"
"IMF.STA:IMTS(1.0.0)","ITA.TBG_USD.DEU.A","OBS_VALUE","Italy","Trade balance goods, US dollar","Germany","Annual","Millions","-8013.596252","-11070.116947","-14154.104794","-11255.800723","-6027.659139","-11145.586745","-13022.625946","-14205.787838","-15107.449116"
"IMF.STA:IMTS(1.0.0)","DEU.TBG_USD.USA.A","OBS_VALUE","Germany","Trade balance goods, US dollar","United States","Annual","Millions","70357.762539","75094.461712","77909.186801","73036.266726","60829.825663","81240.676277","90042.577746","92640.697628","99821.33184"
"IMF.STA:IMTS(1.0.0)","GBR.TBG_USD.CAN.A","OBS_VALUE","United Kingdom","Trade balance goods, US dollar","Canada","Annual","Millions","-7188.535494","-8639.113478","-6359.369527","-9181.053844","1191.786137","-969.636004","-1319.015162","2265.843628","527.822178"
"IMF.STA:IMTS(1.0.0)","GBR.TBG_USD.FRA.A","OBS_VALUE","United Kingdom","Trade balance goods, US dollar","France","Annual","Millions","-9488.029221","-6077.5518","-5772.591177","-7554.318933","-5842.508337","-5215.24098","-10279.775558","-20198.756462","-17052.998075"
"IMF.STA:IMTS(1.0.0)","GBR.TBG_USD.DEU.A","OBS_VALUE","United Kingdom","Trade balance goods, US dollar","Germany","Annual","Millions","-44280.107454","-42976.320677","-44590.684009","-39327.064413","-31407.246078","-38233.954084","-42368.234586","-49661.839223","-50145.890604"
"IMF.STA:IMTS(1.0.0)","GBR.TBG_USD.JPN.A","OBS_VALUE","United Kingdom","Trade balance goods, US dollar","Japan","Annual","Millions","-6591.715349","-5740.267097","-4537.302907","-4681.134521","-1278.267734","-1407.327091","-2804.02428","-1655.425217","687.882377"
"IMF.STA:IMTS(1.0.0)","GBR.TBG_USD.USA.A","OBS_VALUE","United Kingdom","Trade balance goods, US dollar","United States","Annual","Millions","4465.326899","270.600034","2691.139231","6449.398053","12770.734185","14482.970834","-3627.615429","4701.220663","1001.685041"
